Year,Month,Day,CS_DHI,CS_DNI,CS_GHI,DHI,DNI,GHI
2016,2,7,24.375,339.2916666666667,153.91666666666666,29.291666666666668,290.2916666666667,145.75
2016,2,8,31.708333333333332,336.3333333333333,161.04166666666666,61.291666666666664,44.208333333333336,76.70833333333333
2016,2,9,28.5,367.9583333333333,168.875,53.958333333333336,167.0,115.70833333333333
2016,2,10,27.541666666666668,366.8333333333333,167.29166666666666,65.33333333333333,71.66666666666667,89.5
2016,2,11,29.25,360.3333333333333,170.0,30.416666666666668,310.625,161.70833333333334
2016,2,12,25.458333333333332,376.75,174.70833333333334,33.416666666666664,291.2083333333333,157.45833333333334
2016,2,13,24.416666666666668,376.7083333333333,172.625,48.708333333333336,226.70833333333334,135.54166666666666
2016,2,14,63.583333333333336,241.5,163.75,47.375,4.666666666666667,48.791666666666664
2016,2,15,36.958333333333336,326.2916666666667,174.625,63.5,20.625,72.0
2016,2,16,41.833333333333336,313.9583333333333,171.33333333333334,56.875,39.916666666666664,67.125
2016,2,17,33.0,347.125,178.41666666666666,57.458333333333336,25.916666666666668,64.16666666666667
2016,2,18,43.0,302.9166666666667,171.875,67.625,109.625,120.54166666666667
2016,2,19,25.083333333333332,367.5833333333333,181.5,25.833333333333332,352.125,178.41666666666666
2016,2,20,27.291666666666668,363.375,181.79166666666666,27.708333333333332,345.9583333333333,179.95833333333334
2016,2,21,29.166666666666668,355.9166666666667,182.375,73.375,78.66666666666667,103.79166666666667
2016,2,22,31.166666666666668,355.3333333333333,186.04166666666666,62.0,156.75,130.20833333333334
2016,2,23,38.083333333333336,328.9166666666667,183.66666666666666,67.54166666666667,115.04166666666667,125.25
2016,2,24,36.666666666666664,343.0833333333333,189.20833333333334,45.458333333333336,12.958333333333334,50.875
2016,2,25,29.333333333333332,383.5833333333333,197.0,71.33333333333333,96.875,125.54166666666667
2016,2,26,31.208333333333332,381.75,198.20833333333334,64.25,144.75,126.625
2016,2,27,27.583333333333332,393.25,202.04166666666666,27.583333333333332,393.25,202.04166666666666
2016,2,28,36.291666666666664,349.9583333333333,193.70833333333334,77.08333333333333,95.25,117.54166666666667
2016,2,29,36.5,355.1666666666667,198.33333333333334,61.25,156.625,143.83333333333334
2016,3,1,33.916666666666664,369.4583333333333,208.04166666666666,60.791666666666664,4.291666666666667,63.083333333333336
2016,3,2,32.041666666666664,390.25,209.20833333333334,61.041666666666664,157.79166666666666,143.125
2016,3,3,48.458333333333336,323.875,202.16666666666666,48.375,0.8333333333333334,48.958333333333336
2016,3,4,45.083333333333336,334.8333333333333,205.75,68.25,49.291666666666664,85.29166666666667
2016,3,5,35.583333333333336,385.0833333333333,218.25,72.08333333333333,46.458333333333336,85.625
2016,3,6,45.625,341.125,208.16666666666666,64.70833333333333,229.08333333333334,180.79166666666666
2016,3,7,50.75,301.3333333333333,201.5,79.08333333333333,40.833333333333336,102.66666666666667
2016,3,8,43.958333333333336,327.0416666666667,209.16666666666666,59.833333333333336,122.20833333333333,122.25
2016,3,9,36.25,381.7083333333333,223.75,86.70833333333333,163.66666666666666,163.54166666666666
2016,3,10,32.666666666666664,405.0416666666667,231.08333333333334,63.291666666666664,255.91666666666666,194.33333333333334
2016,3,11,34.208333333333336,409.875,232.45833333333334,34.916666666666664,385.7916666666667,229.70833333333334
2016,3,12,35.208333333333336,393.2916666666667,227.41666666666666,83.0,39.5,97.33333333333333
2016,3,13,55.041666666666664,324.2083333333333,217.375,51.958333333333336,1.3333333333333333,52.75
2016,3,14,53.083333333333336,322.0416666666667,221.95833333333334,75.45833333333333,80.33333333333333,119.75
2016,3,15,53.0,325.125,223.25,69.75,49.375,85.5
2016,3,16,31.375,420.3333333333333,248.04166666666666,34.5,356.9583333333333,233.91666666666666
2016,3,17,32.583333333333336,437.7083333333333,251.625,57.291666666666664,330.7083333333333,223.5
2016,3,18,35.791666666666664,436.0416666666667,256.0833333333333,73.45833333333333,264.0833333333333,209.45833333333334
2016,3,19,36.083333333333336,430.4166666666667,256.25,101.66666666666667,83.375,146.54166666666666
2016,3,20,37.166666666666664,427.5,258.5,89.41666666666667,191.45833333333334,190.54166666666666
2016,3,21,41.625,413.2083333333333,256.7083333333333,54.5,317.125,233.41666666666666
2016,3,22,54.708333333333336,361.0416666666667,246.79166666666666,110.29166666666667,73.25,147.20833333333334
2016,3,23,90.91666666666667,252.04166666666666,230.125,37.833333333333336,2.4583333333333335,38.541666666666664
2016,3,24,77.58333333333333,304.1666666666667,246.0,72.58333333333333,4.416666666666667,75.45833333333333
2016,3,25,40.041666666666664,433.0,272.0416666666667,40.916666666666664,382.2916666666667,258.6666666666667
2016,3,26,50.166666666666664,393.875,262.875,96.04166666666667,139.70833333333334,152.08333333333334
2016,3,27,48.791666666666664,389.0416666666667,264.625,59.041666666666664,2.625,60.708333333333336
2016,3,28,42.541666666666664,424.8333333333333,276.4166666666667,41.208333333333336,387.5,267.3333333333333
2016,3,29,47.25,407.5,271.875,56.916666666666664,372.8333333333333,260.5
2016,3,30,62.083333333333336,348.6666666666667,255.875,97.5,84.875,144.41666666666666
2016,3,31,49.833333333333336,394.9583333333333,273.4583333333333,49.916666666666664,27.083333333333332,58.0
2016,4,1,43.125,432.5,284.2083333333333,101.79166666666667,139.95833333333334,173.04166666666666
2016,4,2,39.25,468.4583333333333,296.75,47.916666666666664,437.0833333333333,287.5416666666667
2016,4,3,44.5,436.8333333333333,284.375,58.416666666666664,380.0,268.7916666666667
2016,4,4,48.25,433.625,293.4583333333333,68.125,364.6666666666667,272.7916666666667
2016,4,5,74.75,365.2083333333333,276.6666666666667,98.45833333333333,128.875,148.91666666666666
2016,4,6,58.5,386.3333333333333,285.7083333333333,86.375,86.83333333333333,140.125
2016,4,7,47.583333333333336,436.0833333333333,297.0,104.375,114.58333333333333,164.125
2016,4,8,43.5,468.0,308.5416666666667,82.41666666666667,227.875,217.375
2016,4,9,48.833333333333336,454.9166666666667,305.875,52.791666666666664,412.25,297.2916666666667
2016,4,10,90.41666666666667,315.625,274.0,78.375,56.125,97.29166666666667
2016,4,11,46.25,459.4166666666667,316.6666666666667,52.666666666666664,369.0,294.5833333333333
2016,4,12,48.958333333333336,462.5,313.9583333333333,48.958333333333336,462.5,313.9583333333333
2016,4,13,55.041666666666664,423.5,303.5833333333333,55.041666666666664,423.5,303.5833333333333
2016,4,14,54.458333333333336,430.3333333333333,308.8333333333333,54.458333333333336,430.3333333333333,308.8333333333333
2016,4,15,60.875,405.2083333333333,301.2916666666667,67.875,376.0,292.6666666666667
2016,4,16,61.25,402.5833333333333,304.5833333333333,72.08333333333333,348.5,283.4166666666667
2016,4,17,55.333333333333336,413.9583333333333,304.5,71.33333333333333,295.8333333333333,270.9583333333333
2016,4,18,58.916666666666664,413.75,308.25,124.79166666666667,181.875,225.625
2016,4,19,82.25,352.75,297.0416666666667,104.25,41.166666666666664,128.0
2016,4,20,69.41666666666667,379.5,302.9583333333333,90.79166666666667,45.125,118.20833333333333
2016,4,21,61.041666666666664,414.5833333333333,312.0,111.04166666666667,109.125,167.625
2016,4,22,59.083333333333336,420.125,319.5416666666667,103.08333333333333,104.54166666666667,143.25
2016,4,23,69.08333333333333,406.625,318.75,92.5,243.625,254.54166666666666
2016,4,24,60.0,417.2916666666667,319.3333333333333,126.75,234.5,257.2083333333333
2016,4,25,58.125,418.8333333333333,318.2916666666667,100.95833333333333,263.2916666666667,254.375
2016,4,26,74.04166666666667,385.9166666666667,313.4166666666667,103.54166666666667,94.66666666666667,141.95833333333334
2016,4,27,88.875,350.9166666666667,310.2916666666667,66.95833333333333,35.541666666666664,78.125
2016,4,28,58.291666666666664,420.5,328.9583333333333,56.041666666666664,11.25,58.5
2016,4,29,70.16666666666667,405.625,328.1666666666667,103.66666666666667,41.0,126.75
2016,4,30,109.41666666666667,309.5833333333333,308.4166666666667,51.791666666666664,2.75,52.916666666666664
2016,5,1,89.16666666666667,345.0833333333333,318.7083333333333,73.83333333333333,17.666666666666668,78.16666666666667
2016,5,2,57.75,436.625,337.6666666666667,121.79166666666667,32.583333333333336,148.83333333333334
2016,5,3,54.416666666666664,460.1666666666667,344.1666666666667,97.125,293.4583333333333,288.875
2016,5,4,47.0,482.6666666666667,354.2916666666667,49.416666666666664,455.5416666666667,348.8333333333333
2016,5,5,52.0,472.0416666666667,349.25,52.0,472.0416666666667,349.25
2016,5,6,62.666666666666664,434.3333333333333,341.7916666666667,63.125,419.5833333333333,339.8333333333333
2016,5,7,97.125,357.2083333333333,324.625,133.875,146.45833333333334,226.625
2016,5,8,75.16666666666667,391.875,336.0416666666667,105.75,191.20833333333334,259.5
2016,5,9,90.54166666666667,352.625,323.625,90.95833333333333,19.916666666666668,101.25
